,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.0,4.19173,2.53687,3.2667844,5.920311,4.125045,4.280963,6.0029325,5.539482,6.1044264,4.653356,4.652716,3.9441283,3.6322541,3.551866,3.4346375,4.7989836,5.157867,6.392716,7.2846766,6.6234026,7.0396757,6.6532884,5.607568,5.933379,5.68882,4.808531,5.0644503,5.3546906,6.1989956,4.2222247,4.2982416,4.9728427,6.203082,7.1239862,5.696507,5.299202,4.921598,5.36063,5.3671355,5.3363395,5.607104,4.278225,5.5739026,4.9560127,4.926164,5.4756994,5.721246,5.5139446,5.2432423,4.8230424,4.3815184,4.715801,5.072535,5.5025997,5.4871063,6.7734346,7.155007,5.9891615,5.4262333,5.0685005,4.809202,4.312757,4.371666,6.7246346,5.5978694,7.027059,5.2546096,4.77431,5.806692,6.500539,6.89538,5.1215897,6.196375,4.514839,4.8140745,6.694792,5.0561533,6.3389025,7.41086,7.348514,7.274356,6.1970153,7.6454887,5.1630397,6.6591024,6.007005,5.9831204,5.3900905,7.3293247,6.7158237,4.682383,4.705387,5.9816947,6.742564,6.764218,5.843486,7.4345026,6.175622,6.2397156,5.21764,6.901199,5.6695457,5.8921833,6.339339,6.8708425,6.3580112,5.7407675,6.7404895,6.37847,5.760662,5.99491,6.6644,6.8483944,6.576629,6.4748254,6.8391447,6.772425,6.925063,6.5414877,5.584872,6.284948,6.528329,6.1258955,7.24522,7.217597,7.994246,7.313999
1,4.19173,0.0,5.1061487,4.327447,6.236152,3.6574936,4.6196027,5.9261284,5.9004493,6.1032357,5.3228536,5.8703146,4.4403386,4.2098994,5.239923,4.9712243,5.0720787,5.6854677,6.239547,6.9181747,6.5132656,8.262761,6.32559,6.5463176,6.1263957,5.223548,4.844741,5.052999,5.778974,6.563449,5.938617,5.063523,6.609914,7.2417927,7.6491294,6.088673,6.5029573,4.076264,6.7641735,6.7589293,4.573408,4.832697,5.083684,5.0934615,5.50084,5.1805687,5.9528084,5.959177,6.0504127,5.71336,5.435012,4.3120446,6.358067,5.5952578,5.9135795,5.887148,7.36819,7.2797704,5.0194535,5.5282397,7.6785626,5.9551873,5.09633,5.0425134,7.273132,6.1721168,8.269195,6.4034185,5.136349,6.4748416,6.7605443,7.0422034,6.5115895,7.0061812,5.9431024,6.1493297,7.0027194,6.4710393,7.8871174,7.5358133,7.6645823,7.811295,6.82998,7.973047,6.204666,7.356778,7.2976823,7.268047,7.301312,7.0626397,7.0121603,6.2044797,6.486141,6.971265,7.7312107,7.4401608,5.627939,6.695143,6.314909,7.0872536,4.932545,6.2931037,5.5106835,5.9752645,5.6904874,6.259257,6.2281413,6.8072505,7.0891457,6.8466344,5.3759913,5.804891,6.9511685,7.951868,7.196889,7.6708617,7.833146,7.876053,8.1262045,7.0971246,7.106276,6.1221113,7.2908583,6.722054,7.7432103,7.402173,7.808226,7.7484055
2,2.53687,5.1061487,0.0,3.0236418,4.319467,4.57969,3.5509102,5.1367097,4.7351913,5.332219,3.6869295,3.5540574,3.4941177,3.3475497,3.7410946,3.658894,4.99932,5.6497636,6.4989696,7.4087477,7.0162225,7.1027136,7.116053,5.4716115,5.3728995,6.067891,4.5497074,4.812355,5.288372,7.3234296,5.3118305,4.9294453,4.186713,5.4443574,5.945856,4.7875047,4.6125007,5.1105328,4.647086,4.6311684,5.080307,5.183147,3.65162,5.6334805,3.8175564,4.560926,4.92515,5.1669183,5.952357,5.092571,4.619061,4.116564,4.8058906,4.902794,5.5722723,5.301608,6.239108,6.6322646,5.6464496,4.953265,4.4688196,4.6044745,4.272336,4.1513057,5.9808154,5.537429,6.19974,4.930343,4.922985,5.7062964,6.46689,6.6430264,5.381123,6.260193,5.0043125,5.1955643,6.79868,4.947243,6.5852323,7.4201593,7.1437864,7.1493444,5.8431606,7.6397243,4.5456147,6.346403,5.825546,5.823935,4.890178,7.252992,6.940893,5.1094904,5.0098352,6.8787136,6.933766,7.0330544,5.894033,7.241134,5.8126674,6.0410476,5.3983417,7.082375,5.541024,5.635619,6.280333,7.2738795,7.532122,6.8222923,6.952474,6.727695,5.565787,6.087559,6.33858,6.629379,6.331115,6.2452106,6.3771515,6.3600216,6.727093,6.322748,6.0392756,6.460188,6.4400735,6.019767,6.733156,6.82701,7.921321,6.984206
3,3.2667844,4.327447,3.0236418,0.0,4.9900794,3.6207042,2.258762,4.167354,5.334681,5.620419,3.165742,3.3244684,2.6303566,2.0595613,3.8286798,3.3908126,4.5151377,4.912868,5.7882195,6.7748833,6.31675,7.0512815,6.243724,4.666007,4.8788323,4.910879,3.5012372,3.8301358,4.414276,6.5155134,5.232411,5.247745,4.410916,5.144755,5.961375,4.504752,4.46629,4.2180023,4.3966413,4.38408,4.5263906,4.6591873,3.0302868,4.934831,3.3828287,3.833113,4.429254,4.448756,4.8954134,5.700618,5.4228954,3.5687633,4.63415,3.5729637,4.863552,4.823879,5.5902057,6.0456476,4.902449,3.999095,5.917629,3.2414184,2.642339,2.838268,5.850313,4.784743,6.0482364,4.025621,4.434027,5.500621,6.0507474,5.823864,5.2784567,6.4539113,5.410015,5.3179126,6.003444,5.105818,6.440031,6.551159,7.179659,7.3744645,6.311427,7.5241904,4.9786863,6.6303363,6.226017,6.208567,5.787752,7.4908304,6.928587,5.56101,5.0864377,6.586941,7.6981773,6.4540596,5.006315,6.2852373,5.661426,7.392358,4.7567124,6.419512,5.2804456,4.277931,5.629006,7.3382125,7.2974424,6.6331825,5.8533998,5.987782,4.8393517,5.0230713,5.6285233,6.7870674,5.9968452,6.671239,6.8767586,6.959528,6.9877715,7.1679707,7.5738277,6.6900654,7.1966004,5.230272,6.1435575,6.8161497,7.410638,7.334872
4,5.920311,6.236152,4.319467,4.9900794,0.0,5.4590936,4.685243,5.662073,4.1792088,3.845767,3.707332,3.8964968,4.7290454,4.802289,5.91158,6.0591083,5.48171,6.2890196,6.673695,7.2685065,7.6223187,7.944969,7.7725663,6.1107497,5.1524153,6.9137616,5.550299,5.3043623,5.230382,8.575109,7.1943154,6.6651525,5.3847365,5.217363,5.3431,5.376369,5.2893224,5.874837,5.3065624,5.2769737,5.473025,5.0200825,4.235179,5.9228883,3.3794131,4.8415813,4.813254,4.8061676,6.3679833,4.8778577,4.6502333,4.9133916,6.784901,5.827574,6.089389,5.1768413,6.0848637,6.633986,5.373687,4.812307,6.7647715,5.5350122,5.6947107,5.0072565,5.468331,5.4744153,6.476561,5.34716,5.075791,6.151096,6.3952885,6.833184,6.6313396,6.448012,6.363875,6.736401,6.744283,6.2633085,7.5220256,6.772554,8.114273,8.53294,5.860447,8.516929,5.323425,7.379161,7.4641247,7.4701815,6.8069873,6.9250197,8.17358,7.158181,6.6718025,8.789324,9.134592,7.968954,6.6012683,7.197785,5.7258186,7.131908,5.1901727,6.8745513,5.3483405,6.158648,6.992385,8.746443,9.050453,8.499737,7.3970327,7.0693245,6.456607,6.8657684,5.5922837,6.9998093,6.210444,6.7923865,6.4265165,6.6125646,7.1136026,5.7160087,7.6398177,5.8920655,6.3107824,5.931616,5.9530034,5.75433,7.4566526,5.75644
5,4.125045,3.6574936,4.57969,3.6207042,5.4590936,0.0,4.2900534,5.420077,5.6887975,5.77461,5.086094,4.6831117,4.5452647,4.0629373,5.254029,4.941901,5.745158,5.307796,6.186968,7.125408,6.9425235,8.370882,6.3620977,5.025392,5.615993,5.0069957,4.0873322,3.915832,5.833641,6.8702087,6.3338194,5.668734,6.3317647,7.060002,8.053135,5.944694,6.1534133,5.6572948,6.2291775,6.244828,5.69277,5.5431447,4.839469,6.096154,4.9868317,5.1528034,5.719715,5.6125307,6.079328,5.6877007,5.256029,4.638022,6.483667,5.3634944,6.171543,6.171684,7.049198,7.6347976,6.1933007,5.483131,7.649359,5.675294,4.733991,4.5060067,6.4249606,5.8495054,7.286153,5.453235,5.2714114,6.2826333,6.275229,6.2394233,6.776328,7.5332227,6.5292377,6.3694544,7.0852613,5.8774796,7.5273724,7.2216234,8.028892,8.2169695,6.531835,8.431221,5.83396,7.3987827,6.431733,6.415281,6.662637,7.715945,8.244048,6.2835593,6.0180163,7.541387,8.41024,6.9716654,5.636467,5.742478,5.858646,7.4225264,4.1558337,5.860738,4.396323,4.906073,5.4499507,7.603423,7.868509,7.384926,6.575428,6.8122673,5.005414,5.590195,6.7006254,7.888016,6.891472,7.5677314,7.610787,7.661217,8.083094,7.1031923,7.449482,6.433734,7.196276,6.61612,7.379756,6.913073,8.408452,7.296598
6,4.280963,4.6196027,3.5509102,2.258762,4.685243,4.2900534,0.0,4.558136,5.036746,5.3602643,2.9241865,2.9510038,1.7224534,2.0329642,4.4608054,4.1647143,4.858846,5.7797194,6.5450926,7.067771,6.4914346,7.665537,6.8416605,5.238364,4.345589,5.7122912,3.7708087,4.09133,4.692077,7.0705657,5.7148747,5.22958,4.4723935,5.1331162,5.9977255,4.5537415,4.306613,4.4237833,4.3484373,4.305012,4.4858065,4.4977126,2.4711988,4.904322,2.5530708,3.1554794,4.0157986,4.0203376,5.2443213,5.9007106,5.3929286,3.320709,5.282955,4.210314,5.376385,4.4995403,5.9008594,6.370438,4.5585237,3.6084173,6.274099,4.0912333,3.6612484,2.8561015,5.7143555,4.8692317,5.9130225,4.2037973,4.750344,5.8493853,6.6872144,6.388499,5.6582055,6.4056096,5.7511272,6.1080847,6.209082,5.7876763,7.314993,7.174703,7.091818,7.3026357,6.132903,7.635441,4.99695,6.537041,6.1829476,6.1612296,6.142515,7.664218,7.104555,6.30635,6.052032,7.181626,8.132816,7.1046596,4.8864098,5.8701963,5.4654384,7.3158464,4.9446187,6.1758294,4.7698164,3.8746474,5.143693,7.214769,7.6375327,6.830346,6.6362987,6.827608,4.551933,5.0829506,5.589317,6.765692,5.8788834,6.56611,6.653588,6.7617803,7.0074987,7.1815863,7.5400987,6.6296916,7.0401416,5.0417705,5.7071424,6.395927,7.412687,7.4103136
7,6.0029325,5.9261284,5.1367097,4.167354,5.662073,5.420077,4.558136,0.0,6.423652,6.6728015,4.8047366,5.18083,5.0711117,4.5997844,4.897549,4.0007114,5.408675,5.2287645,7.1179004,7.899831,8.4158745,7.320791,7.987025,6.370091,6.42067,4.4679766,5.6183867,5.7771826,6.3546886,7.1811996,7.7443414,7.1272836,7.0214667,6.358505,6.1950364,3.0156248,7.193918,5.6802754,7.0291433,7.0007467,5.4011497,5.301687,5.209462,6.0769663,4.5959153,4.814981,6.1917353,6.260565,6.326819,6.3164663,7.4311695,6.017631,5.2685323,4.67073,5.3338885,5.8424425,5.8949394,6.109172,5.2183623,4.3294616,7.6596084,5.325953,4.187622,5.656505,6.457396,6.1924763,6.561578,5.601971,5.16775,6.699763,6.506409,6.0562925,5.6585383,6.576309,6.1015596,5.311321,6.3087707,6.5422893,6.6875424,6.2613254,7.2540216,7.5602784,7.0691466,7.056483,5.85858,6.8113947,6.668492,6.652376,6.2033377,7.1016912,6.737966,5.852121,5.678677,6.438628,7.3324437,6.2568,5.639445,6.71196,6.9005322,8.353272,5.485486,5.997105,6.39619,3.957177,5.735162,6.961553,7.828042,7.375874,6.4653554,6.2688937,5.1311197,4.6217995,5.951573,6.8394775,6.827595,7.517588,7.586068,7.6877136,7.2917404,7.1862984,8.312576,7.4132032,8.587276,7.044657,7.1184726,7.315726,7.842751,7.2356305
8,5.539482,5.9004493,4.7351913,5.334681,4.1792088,5.6887975,5.036746,6.423652,0.0,1.8132409,5.4779277,5.482342,5.261142,5.1003356,6.361076,6.1289864,6.2251954,6.8282914,6.634339,6.8945465,6.684859,7.546937,6.983533,5.9454503,5.8158956,7.520768,5.99212,6.162524,6.2817025,8.735871,7.320557,6.5613103,5.745042,6.623771,6.589682,6.6434197,5.696132,5.9795675,5.7339973,5.7078824,6.4036765,6.2897367,5.39692,6.64998,5.164018,5.790587,6.425081,6.4630775,6.8361993,3.5260174,2.8829062,5.5395756,6.204441,5.391792,6.495894,6.3692703,6.5252275,6.5421076,6.0434866,5.5219646,7.3233376,5.8350677,5.462644,4.784104,5.4998984,4.6172557,6.7495947,5.6515927,4.7261915,5.885418,6.2883096,7.0275416,7.1410418,6.762605,6.245254,6.4874754,7.566698,6.9401655,8.193062,8.055093,7.6481237,7.8601904,6.4400125,8.138159,6.0825753,7.2714944,7.91283,7.901778,6.9824533,5.675575,7.8955555,7.6235967,6.802503,8.304777,8.977607,8.2081375,6.6405587,7.221547,4.6433253,6.2720833,4.652259,5.8373795,4.322056,5.865342,7.243427,8.727935,9.111971,8.592032,7.313001,8.005985,6.753289,7.0467777,6.760573,7.768195,7.0148373,7.6558533,7.944906,8.065654,7.916812,5.5425158,7.3604374,6.496497,5.725466,6.357022,7.0403805,5.8057227,8.15236,5.7620325
9,6.1044264,6.1032357,5.332219,5.620419,3.845767,5.77461,5.3602643,6.6728015,1.8132409,0.0,5.2002735,5.740316,5.593848,5.417841,6.4384403,6.6903467,6.4026275,6.9876056,6.4639215,6.743076,6.8740883,7.755935,7.1071467,6.0828123,6.1465406,7.77318,6.163039,6.3038726,6.41414,9.002206,7.7639685,7.1006703,6.1835756,6.6347637,6.731504,6.7401953,6.0353355,6.3884745,6.071466,6.053364,6.4648213,6.4159927,5.428021,6.7801085,5.2685003,5.921312,5.833351,5.794081,6.4729257,4.172069,3.419193,5.899757,6.92881,5.8778887,6.842993,6.76609,7.0025377,7.0258107,6.455694,5.9484215,7.670484,5.8166256,5.898725,5.0953045,5.370005,4.510488,6.805826,5.574573,5.2313576,6.1410584,6.167988,6.945369,7.4868197,6.5814395,6.6692944,6.8852997,7.6502995,7.09422,8.451394,7.6457686,7.942632,8.385808,6.493585,8.466279,6.2470455,7.4752736,8.113104,8.103909,7.21427,5.7465425,8.047974,7.940807,7.1870055,8.572145,9.683018,8.544347,6.5504847,7.034886,4.827962,6.7806273,4.515502,6.0617857,4.2494907,6.0907903,7.3983493,9.190602,9.35212,8.83614,7.2489305,8.002733,6.8923254,7.0617666,6.175477,7.5571003,6.564422,7.4183087,7.57842,7.736295,7.817986,5.977752,7.902579,5.7483387,5.0535665,5.675117,6.576904,5.136802,7.8040056,5.2545967
