,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.0,0.48789832,1.8189324,1.7125992,2.589652,2.8061981,2.7153397,2.7284179,2.4426968,2.2700262,2.157744,2.2767017,2.502789,2.4370036,2.5688007,2.2956147,2.962296,2.9161782,2.6876547,2.7445488,1.4876077,2.3356783,2.233074,2.3246934,2.3403296,2.335331,3.447796,2.4199293,2.0664139,2.1706848,2.3916469,2.3218784,5.201026,4.7982926,5.0293617,5.063364,4.6821795,5.002472,5.269214,5.1292615,4.106731,3.238773,4.117884,3.8081946,3.642062,3.7210693,4.644097,3.764781,4.5980086,3.7322993,3.7964106,3.8170948,3.8481362,4.2779384,3.8644946,3.66874,3.8939056,4.038477,3.4882145,3.5260665,3.996519,3.9814055,3.977245,4.0433545,4.2733397,3.9217777,4.1562624,4.244696,4.6596203,3.8659925,4.304503,3.9004724,4.3447776,4.241907,4.011746,4.042908,4.484613,4.5930476,4.3296485,4.0509725,4.3360667,4.1694856,4.398589,4.3130527,4.22877,4.2297626,4.123827,4.2879148,3.987396,4.022298,3.6271763,3.6271763,4.514905,4.0715966,4.4962387,4.3328605,2.6274486,2.4093275,2.9949627,2.9793494,2.4214313,2.4323494,3.4418018,3.2227254,2.3881567,2.3881567,2.55148,2.5944355,3.3728733,3.8173783,2.4734027,2.3163044,2.6219668,2.8527267,2.5731158,2.2552507,2.5567186,2.5462532,2.7147105,2.8969572,2.2437923,2.0645046,2.2120547,2.1080773,1.9905936,2.2955317,3.519905,3.5518458
1,0.48789832,0.0,1.8005269,1.713736,2.586415,2.7053223,2.7190897,2.7726796,2.6126184,2.140365,2.0827558,2.2399724,2.3966067,2.419767,2.5559044,2.2416947,2.8437972,2.7951255,2.6347983,2.7334027,1.5452758,2.2401931,2.0862353,2.2011278,2.2495368,2.2345061,3.453719,2.3442717,2.138602,2.2420115,2.4508464,2.342454,5.3337607,4.948337,5.065329,5.111541,4.6864967,5.121806,5.3919783,5.237444,3.9114022,3.2905624,4.1006255,3.8144987,3.5281549,3.6034029,4.655441,3.7781284,4.592201,3.6650662,3.7158732,3.7357936,3.7567174,4.1821733,3.766519,3.5843613,3.9338043,4.1179624,3.536925,3.5879586,3.907277,3.9976501,4.008132,4.013641,4.2318816,3.9452367,4.1200123,4.207429,4.592936,3.894556,4.358375,3.9201453,4.3480043,4.2420444,3.9565887,4.026433,4.464934,4.5428276,4.4572873,4.0623813,4.331383,4.1417747,4.37719,4.2983108,4.2181535,4.2339616,4.098657,4.2732,3.9376712,3.998106,3.6103337,3.6103337,4.4950385,4.0359173,4.4877696,4.343826,2.6682856,2.4813826,2.9261527,2.962052,2.381201,2.437044,3.5961723,3.3896458,2.3233793,2.3233793,2.5570168,2.5538461,3.473831,3.8142326,2.5381153,2.3203847,2.6964695,2.9968715,2.652698,2.3315673,2.6170068,2.6102808,2.7366872,2.978553,2.309058,2.119749,2.237216,2.1292207,2.1642563,2.286172,3.558786,3.5879517
2,1.8189324,1.8005269,0.0,0.8833127,2.3814123,1.8690825,1.8632606,2.0200992,2.0026333,1.5177763,1.4866726,1.4857985,1.611808,1.5944797,1.9007026,1.4797697,2.3571508,2.1695387,2.0689588,2.236559,1.2587719,1.607607,1.1750973,1.4140354,1.7086391,1.6968068,2.6083488,1.6178627,1.4394873,1.3873224,1.7714071,1.6472479,5.1237206,4.8199024,4.907552,4.9357295,4.226246,4.614742,4.8682566,5.086256,3.252239,2.762284,3.1152823,2.8704967,2.9204257,3.0580611,3.8420677,2.7277598,3.7234075,3.1541843,3.2567034,3.234576,3.3249135,3.8246355,3.239319,3.1136715,3.6450944,3.8174374,2.9041903,2.8837256,3.827391,3.9618459,3.8508785,3.8904588,4.0535064,3.8629205,3.882639,4.0196276,4.3514676,3.729176,4.4110565,3.7816265,3.706904,4.116727,3.7896318,3.76311,4.487491,4.5683703,3.9873981,3.8442,4.1018887,3.526974,4.1048117,4.043265,4.011301,4.048628,3.796015,4.016729,3.712427,3.8198955,3.8233354,3.8233354,4.1251664,3.7208164,4.004626,3.8374064,1.6288165,1.6636622,2.0231032,2.3008368,1.6136408,1.9734176,2.8309166,2.6986442,1.686894,1.686894,1.7191855,1.8238037,2.5996408,3.0459208,2.388697,1.9276313,1.9138737,2.3602438,2.161484,2.2582505,1.8475425,1.8944476,1.8457386,2.2812674,1.7023937,1.7765807,1.6782143,1.6641912,1.8289213,1.8286456,2.4268131,2.4708164
3,1.7125992,1.713736,0.8833127,0.0,2.3322952,2.1241035,2.3113356,2.1185274,2.3341827,1.9113649,1.9867613,1.9827778,2.1424477,2.1650445,2.3049262,2.0436122,2.6471028,2.426794,2.3990386,2.5095184,1.4522386,1.9955759,1.8055848,1.9005183,1.8173525,1.8327926,2.499233,1.8389585,1.7944747,1.781301,2.4088576,2.1857533,5.146886,4.7925406,4.8704343,4.9139495,4.2824445,4.679096,4.7685447,5.0939174,3.5138547,2.8612814,3.3737357,3.180712,3.231199,3.414083,4.3522644,3.3201618,3.6114895,3.291719,3.3823388,3.3654675,3.4506185,3.9767227,3.400878,3.2708988,3.7511487,3.9342687,3.015095,2.9535954,4.0168457,4.1581626,4.1505313,4.1835923,4.3987584,4.1614766,4.215482,4.3574553,4.5541964,3.9058044,4.3755364,3.9555726,3.9163313,4.429799,4.107862,4.055115,4.662126,4.763892,4.308742,4.136763,4.4340134,3.8593721,4.4224963,4.3591065,4.340844,4.3662004,4.0742593,4.3313355,4.015957,4.11234,3.9432335,3.9432335,4.51445,4.0361676,4.4203677,4.2456,1.8431253,1.7944058,2.367004,2.3505654,1.9612052,2.0279512,3.0832632,2.977267,1.9797862,1.9797862,2.0730495,2.1995726,2.9749901,3.3928373,2.3591275,1.8228422,2.154687,2.4467402,2.1505535,2.3014,2.1939018,1.9695716,2.1868737,2.2889616,1.9521496,1.890057,1.9213556,1.7899041,1.9786354,1.8795477,2.6264846,2.6666331
4,2.589652,2.586415,2.3814123,2.3322952,0.0,2.667859,3.0522408,2.6674297,3.5258958,2.6306212,2.5530643,2.6889622,3.045505,2.85498,3.1492922,2.7034645,3.053563,2.9409015,2.9844844,3.0864322,2.3148026,2.848723,2.528351,2.521802,2.823397,2.8056695,3.8076267,2.9264827,2.8641279,2.8390887,3.1209664,2.9753506,5.102371,4.818868,4.6383123,4.6865344,5.3783426,4.4913535,4.8817,4.9942317,3.82429,3.6692846,3.9172163,3.8114152,3.6073678,3.7525125,4.84116,4.001159,4.657469,3.8704095,3.9527938,3.9236648,3.9577227,4.3447275,3.7531457,3.7928042,3.8200855,4.000862,3.8377268,3.4844556,4.130331,4.371052,3.7064428,3.6498246,4.6187367,4.408962,4.50612,4.606131,4.8578124,4.3280234,4.920506,4.3674617,4.6252265,4.683263,4.395185,4.4218197,4.9147487,4.9934545,4.794003,4.431071,4.5855937,4.286754,4.649261,4.565438,4.6048827,4.6535897,4.4089375,4.545119,4.3472095,4.460634,4.083969,4.083969,4.79712,4.418588,4.772055,4.6029067,2.7436264,2.8094878,2.7193866,2.8657978,2.435977,2.665853,2.631983,2.4955053,2.6030958,2.6030958,2.8620603,2.8256261,3.2043326,3.792172,2.4734988,2.6219485,2.469673,2.7528014,2.7501678,2.6608453,2.8719695,2.8104794,2.8075016,3.2782962,2.782564,2.894297,2.7146149,2.6897836,2.7772052,2.5161254,3.0946047,3.1147401
5,2.8061981,2.7053223,1.8690825,2.1241035,2.667859,0.0,2.1869671,3.2025356,2.6172023,1.599153,1.6126826,1.6640258,1.9810251,1.9362631,2.3062494,1.8324308,2.6167886,2.451651,2.50179,2.7149599,2.5113518,1.7917635,1.46848,1.6002353,1.8765616,1.8850547,3.2228825,2.1059172,1.659081,1.73839,2.2261918,1.9484508,4.5546613,4.1487627,4.009743,4.0913777,3.9034827,4.0766606,4.4013386,4.5803633,2.033039,1.8751894,2.1075509,1.9575983,1.7327093,1.9382792,3.376717,2.361321,3.175988,1.7951932,1.9873375,1.9455878,2.1979244,2.66412,1.9404368,1.8708726,2.7319505,3.0423403,1.9235886,1.9524914,2.477781,2.8127694,2.7830274,2.687981,4.2563415,4.1570873,4.118793,4.2276793,4.4741883,3.8541782,4.36539,3.8805263,4.1572814,4.3069754,3.8599699,3.9481437,4.5312757,4.5626736,4.4149065,4.069486,4.2031765,3.6796172,4.239871,4.170681,4.169139,4.250524,3.9983082,4.143716,3.8722293,4.0158796,4.6844106,4.6844106,4.408378,3.9146478,4.348667,4.2551374,2.387814,2.2720199,2.2995703,2.3986747,2.1357791,2.2957075,3.292997,3.0886834,1.8215035,1.8215035,2.1344662,2.137468,2.886784,3.4159286,2.4611473,2.0665574,2.1321394,2.4916835,2.2760324,3.411825,2.0588732,2.0763958,2.2243378,2.493883,1.9920586,2.0929627,2.0269277,1.9377147,3.15477,2.9404893,2.6121652,2.6273115
6,2.7153397,2.7190897,1.8632606,2.3113356,3.0522408,2.1869671,0.0,2.5816057,1.9429929,2.0537732,2.126304,1.9383047,1.8119518,1.8987825,2.373237,1.862718,3.0957096,2.991824,2.75653,2.9206057,1.9582084,2.0038044,1.9529184,2.0247054,3.006023,2.997664,3.9506488,3.0750525,1.8863178,1.7747052,1.8352699,1.9329628,5.1722803,4.783038,5.026026,5.035703,3.9328861,4.4896493,4.915402,4.935817,3.076351,2.379643,2.491738,2.2417996,2.6332095,2.7217119,2.681938,2.3591895,4.420869,3.5006256,3.5734851,3.5434585,3.5190399,3.889097,3.3557405,3.3600845,4.0204673,4.225607,3.288343,3.2814283,3.8456388,3.8451076,3.9468677,4.003257,3.6021733,3.459892,3.5219414,3.5916398,4.092834,3.280258,4.052803,3.3038795,3.764554,3.7445633,3.4088926,3.56096,3.9848979,4.113833,3.3593233,3.3623054,3.5029612,3.0529923,3.5541344,3.4816754,3.4507577,3.4529414,3.386089,3.4737535,3.3538966,3.4555213,3.782561,3.782561,3.8911183,3.4201195,3.9184303,3.6873894,2.4844885,2.4900517,1.9806662,2.3702216,2.3857644,2.7471602,3.4120026,3.2531562,2.3441489,2.3441489,2.4316063,2.5538943,2.9823513,3.4987197,3.2867432,2.924986,2.3526373,2.6134925,2.5750122,2.8351564,2.0963187,2.3912227,2.323691,2.7582102,2.2559922,2.4300048,2.2890022,2.2880204,2.4066281,2.9030845,2.5892465,2.6110811
7,2.7284179,2.7726796,2.0200992,2.1185274,2.6674297,3.2025356,2.5816057,0.0,2.5615964,2.4936073,3.027518,2.4200199,2.5952373,2.5207248,2.728543,2.2957244,2.9115317,2.7279496,2.5389237,2.603625,1.9622767,2.6928563,2.574547,2.6631143,3.0580752,3.0365753,3.631481,2.9740083,2.6876256,2.5610392,2.8101888,2.6583903,5.9431486,5.5455647,5.7566495,5.800397,4.995351,5.033138,5.317079,5.4538527,4.2261405,3.5916588,3.83454,3.7076514,3.8876002,4.0071955,4.535214,3.7950733,4.722121,4.36351,4.3262534,4.272833,4.3151836,4.70715,4.309302,4.197504,4.5014925,4.6530876,4.013008,3.776477,4.775708,5.167463,4.63953,4.6816845,4.591354,4.458192,4.4813595,4.5659375,4.209959,4.344088,5.026667,4.3974175,4.4014378,4.7418327,4.526544,4.4901404,5.022313,5.160937,4.2955823,4.473167,4.642173,4.304321,4.6581583,4.6003428,4.4941254,4.5722847,4.4983764,4.546527,4.358256,4.4371986,4.0631485,4.0631485,4.872143,4.3902164,4.7040563,4.510629,2.8280692,2.988069,2.9927769,3.2557385,2.935554,3.1995175,3.3035626,3.2111197,3.0317466,3.0317466,3.020687,3.175442,3.6528106,4.0477924,3.4905105,3.2771485,3.122355,3.3594923,3.4299655,3.0826046,3.3382456,3.1602736,3.0366333,3.5982416,3.0807023,3.183614,3.07122,3.0519524,2.516452,2.8760452,3.2377264,3.2621112
8,2.4426968,2.6126184,2.0026333,2.3341827,3.5258958,2.6172023,1.9429929,2.5615964,0.0,2.0700727,2.3313224,1.7727305,1.9043142,1.7878047,2.3965619,1.7498361,3.499362,3.4138424,2.9977772,3.110162,2.1687155,2.4493024,2.4306986,2.5995033,2.6159737,2.6142738,3.8520005,2.7515783,1.5922066,1.5665731,1.6401846,1.7677369,5.331192,4.8651433,5.433067,5.439115,4.205197,4.745219,5.1630893,5.1211696,3.9366238,2.463984,3.2919755,2.7247765,3.3038468,3.3592312,3.59232,2.4415147,4.5803614,3.6441338,3.607418,3.5791788,3.7274377,4.2297444,3.680675,3.5267954,3.9777792,4.1774416,3.1159015,3.1498792,3.9369147,3.821442,3.8880281,4.049134,4.479949,4.110776,4.3911057,4.4414735,4.546115,3.9727023,4.400884,3.9013283,4.5540333,4.4356856,4.152602,4.3111687,4.645699,4.8243513,3.7067704,4.0721016,4.3569436,4.165619,4.4754148,4.40423,4.2764473,4.3042927,4.33568,4.3770137,4.144685,4.1442122,4.494828,4.494828,4.7560773,4.3572865,4.57638,4.4395466,2.9181592,2.6938522,3.1924918,3.42061,2.9590774,3.1933856,3.7278757,3.5327005,2.755292,2.755292,2.7524102,2.9727166,3.2981353,3.9064543,3.3672926,3.0870557,2.7871656,2.8738399,2.8715677,3.2650478,2.5238028,2.6761847,2.8211,3.2287,2.425209,2.4979792,2.5331979,2.4310951,2.3896363,3.3545222,2.9210894,2.9562035
9,2.2700262,2.140365,1.5177763,1.9113649,2.6306212,1.599153,2.0537732,2.4936073,2.0700727,0.0,1.0855143,0.5221245,0.828904,0.842134,1.8596748,0.6493996,2.2744954,2.182199,2.145008,2.4744442,1.9944156,1.7296934,1.2620953,1.4145904,1.4567237,1.4419688,3.225838,1.7463423,1.4676658,1.4005864,1.817251,1.6996894,5.281215,4.8266215,4.7581487,4.794941,4.345839,4.637653,5.026629,5.029701,2.6618261,2.4730694,3.1454067,2.7360456,2.411442,2.4953191,3.7341032,2.5619292,3.9533541,2.810741,2.747046,2.6994908,2.9124067,3.4859269,2.7905288,2.7092526,3.3406718,3.657723,2.9128163,2.8719811,3.1698308,3.7080467,3.3760962,3.2451386,4.3266015,4.036525,4.2165065,4.310084,4.027971,3.972174,4.389936,3.8800046,4.2845964,4.3774776,3.8597455,4.043585,4.5354304,4.571837,4.4828053,4.072403,4.259938,3.8998175,4.2945256,4.227647,4.215332,4.3079348,4.074543,4.257067,3.8509178,3.9775717,4.312355,4.312355,4.5165224,4.0645614,4.504062,4.3946843,2.510859,2.4153168,2.5416486,2.7892296,2.2037232,2.4944324,3.5606093,3.361194,1.9313384,1.9313384,2.2413952,2.1984653,3.077494,3.4148982,2.5644937,2.2956653,2.5868342,2.7395616,2.7060862,3.2061775,2.3434947,2.3315127,2.488871,2.8965423,2.1653566,2.2528517,2.2095785,2.1099944,2.7398136,2.7008324,2.7792556,2.8126924
