,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.0,2.498033,3.3555133,3.2829237,3.5639393,3.6816547,3.6298513,3.932256,3.5703726,3.4173164,3.1782997,3.6718369,3.5989482,3.453817,3.5466423,3.3514788,3.8123136,3.7788765,3.924394,3.9755025,3.5477822,3.5859218,3.706321,3.7360272,3.321173,3.4699976,3.0173056,3.290844,3.3420935,3.3339891,3.3950107,3.2708795,2.2304459,2.1140275,1.9586735,3.1796784,2.8360808,2.6529338,2.3738194,2.1051912,1.7839967,2.1672947,3.5159028,3.4807005,2.196617,2.288386,3.1777167,2.7920117,2.9451325,3.0395613,3.2043998,3.1929464,2.9762447,3.2119842,3.3955476,3.586481,3.99751,3.4435155,3.404492,3.6305282,2.4605718,2.650939,2.9389417,2.9418087,3.4409246,3.4299815,3.3089755,3.675427,4.0344877,4.0378966,4.1816015,4.0514426,3.2867,3.6721933,3.77378,2.8563955,3.1030133,3.6004398,3.236394,3.2176983,3.8645723,3.6299148,3.6376054,3.745009,3.8154993,3.7900279,3.42199,3.4983141,3.6803234,3.3755238,3.4374557,3.5703826,3.736884,3.8306975,3.655542,3.658456,3.5229151,3.6920567,3.3103673,3.1935441,3.6689272,3.61271,3.6035929,3.606036,3.7187355,3.597795,4.0969367,3.7826486,3.419714,3.2653615,3.2149875,3.543496,3.6588347,3.6257725,3.6721532,4.5949135,3.6063137,3.6294312,3.5832417,3.5903811,2.981204,3.7872403,2.9856348,2.9234438,3.1968172,3.2040086,3.6698384,3.5979214
1,2.498033,0.0,2.1038058,1.9987484,2.3041418,2.354202,2.3212824,2.7939408,2.5312774,2.3572676,2.4725223,2.5862556,2.580237,2.326628,2.4136775,2.305382,2.9622235,2.898859,3.0131452,3.0934205,2.8395064,2.8955524,2.9856296,3.0055602,2.2011204,2.3550665,1.7857251,2.1167316,2.171533,2.1237166,2.125672,2.1422033,2.6354566,2.5493977,2.2821627,3.6563096,2.9615896,2.9497905,2.5055244,2.3264525,2.2056541,2.7238154,2.4974008,2.683934,2.4679878,2.5453858,3.3357313,2.933267,1.6746659,1.6545012,2.0547497,2.0519574,1.8418046,2.2488286,2.3518367,2.4220855,3.301819,2.5823362,2.449156,2.763229,1.3362269,1.2710757,1.6766416,1.7280128,2.7983787,2.7966602,3.3511367,3.0782247,3.301806,3.3159728,3.3902142,3.2434614,2.419185,2.7208712,3.1378272,2.764397,2.194716,2.7878006,2.4391437,2.369338,3.1014056,2.831172,2.8467667,2.9676201,2.9481745,3.0369153,2.1375713,2.2189617,2.7272785,2.321572,2.3606768,2.5869987,2.995324,2.943175,2.821567,2.8232727,2.7394626,2.7006824,2.6159017,2.645461,2.9495707,2.87395,2.806469,2.7956042,2.6710298,2.6416488,3.1511734,3.184527,2.3876977,2.5523226,2.4016652,2.9160337,2.6922114,2.712347,2.7274137,3.6415582,2.6144185,2.7352958,2.6541078,2.663202,2.2174513,2.5012848,2.1858225,2.196068,3.5211494,3.5167313,2.6360836,2.6594203
2,3.3555133,2.1038058,0.0,0.85384166,1.9113677,2.061457,1.7465359,1.6641787,1.7353292,1.6031077,1.8625398,1.6685753,2.0400927,1.7386953,1.8127792,1.681368,2.597187,2.5017474,2.475337,2.6469479,2.3955622,2.5251858,2.7384925,2.6061087,2.6837432,2.6783462,2.6870313,2.5010917,2.4926298,2.486529,2.5476909,2.6400673,3.7336671,3.701433,3.4447775,4.8710885,2.6387222,2.628068,3.693777,3.5203505,3.663529,3.8241272,3.270514,2.317481,3.7425895,3.7402194,3.0491624,2.6001618,2.6974602,2.7246585,3.0885,3.329741,3.0208006,3.3126822,3.1030028,3.511786,2.9081578,2.0350919,1.8658974,1.6881673,2.7573168,2.7575831,2.9942906,3.1004946,2.343078,2.3241637,3.1346068,2.76346,3.05705,3.0464265,3.2593827,3.1100678,1.9293997,2.2027233,3.192079,2.4803371,2.495975,2.3670883,2.0101964,1.9693213,3.0722723,2.7656157,2.7655272,2.8780425,2.832711,2.9274642,2.8151312,2.895206,2.9782372,1.7011104,2.7282197,2.907027,2.698386,2.5261414,2.3892121,2.397941,2.3948994,2.2947383,2.2798727,2.3475685,3.0896904,3.0730045,2.8225658,2.8151245,2.3477044,2.2584043,2.286998,2.9242165,1.9601523,2.2108045,1.9363797,2.5624015,2.3607364,2.321287,2.3390489,3.4739704,2.291854,2.3166702,2.2437694,2.2589102,2.5389209,2.7389207,2.6085258,2.5614274,3.3933868,3.4146068,2.363495,2.4134533
3,3.2829237,1.9987484,0.85384166,0.0,1.6823053,1.7323146,1.5683275,1.4448154,1.483281,1.3741896,1.7426221,1.4874755,1.8140137,1.4551514,1.61961,1.4245578,2.203288,2.1228034,2.2644649,2.4359753,2.07697,2.19958,2.3107884,2.2969182,2.4099774,2.4963808,2.527409,2.3317754,2.3428116,2.3505256,2.3646712,2.4553611,3.6464055,3.623434,3.3718874,4.4478655,2.4877057,2.4938385,3.658171,3.458261,3.576554,3.7515206,3.5923648,2.1280842,3.7007926,3.7185555,2.9198813,2.401403,2.6245594,2.5806696,3.012249,3.2323096,2.8416207,3.0990367,3.042974,3.3600128,2.7595713,1.7961711,1.6507391,2.0987992,2.7570906,2.7314088,2.9696221,3.0708532,2.2469707,2.2341645,3.0290704,2.6381576,2.7259533,2.7167664,3.0285153,2.8681438,1.7761403,2.1449552,2.6378455,2.3911982,2.3863745,2.26916,1.8491515,1.7569649,2.594248,2.227727,2.2299957,2.3618913,2.3592808,2.4370065,2.6775985,2.7511082,2.8654802,1.5347836,2.699202,2.8640435,2.5497925,2.3933249,2.2647588,2.273702,2.1994514,2.1405478,2.1503732,2.2122097,3.0106251,3.0013683,3.0460606,3.0284674,2.1702702,2.0623996,2.1489894,2.771387,1.8573079,2.0357344,1.8328868,2.4318724,2.2403264,2.2335289,2.256061,3.208369,2.2530222,2.2667897,2.1965063,2.2173629,2.3778095,2.605395,2.4609456,2.4367957,3.270093,3.3562677,2.2342784,2.322476
4,3.5639393,2.3041418,1.9113677,1.6823053,0.0,0.93754756,1.3774264,1.6033345,1.861238,1.6464225,1.6074584,1.7471533,1.650925,1.4106402,1.1344415,1.5414411,2.1755416,2.1029267,2.1744797,2.1314914,2.104816,1.9902047,2.3404977,2.0651824,2.554786,2.0687277,2.236946,2.2880914,2.1438575,2.1171114,2.1157491,2.1593497,3.3837292,3.6302435,3.2215195,4.615365,2.7139597,2.8091066,3.4422035,3.4944227,3.6380713,3.5189066,4.0048018,2.1669006,3.5553226,3.5916748,2.9261208,2.4238424,2.2600164,2.3216088,2.7808657,2.6587553,3.0445306,3.2032526,3.1996427,3.62113,2.1432955,1.7637591,1.5232224,2.2543828,2.62147,2.6440427,2.8526485,2.8952668,2.3932776,2.388142,3.2940288,2.9137235,2.4833322,2.4838276,2.4571686,2.2735918,2.0698164,1.8326789,2.6410258,2.2955613,2.4749532,2.0191355,2.112916,2.0353463,2.19893,2.0152626,2.0831969,2.1304238,1.7428485,1.9765515,2.3038507,2.3686616,2.6156878,1.9645368,3.139798,3.3026056,2.4686024,1.7857403,1.9000522,1.8891692,2.569145,2.367886,1.3302764,1.5401343,2.6157506,2.62436,2.7151964,2.6854541,1.9015259,2.2149684,2.4427454,2.1312466,1.6120452,1.3938025,1.7381393,2.5648806,1.5545217,1.7315851,1.396855,2.7347894,1.452065,1.518603,1.4342977,1.4721416,2.0477035,1.8880792,2.034483,2.2177167,3.204875,3.1934216,1.8117094,1.7083001
5,3.6816547,2.354202,2.061457,1.7323146,0.93754756,0.0,1.7145089,1.8594172,1.9354588,1.7433468,1.8462068,1.9019736,1.8479124,1.6245655,1.4788077,1.5189006,2.0447657,1.964422,2.081349,2.0667706,1.9751256,1.8320946,2.1484442,1.8623612,2.3997638,2.2320557,2.4424694,2.5108075,2.2974093,2.3328025,2.235219,2.3905194,3.540085,3.785941,3.4051995,4.659243,2.9052856,3.0155065,3.6141458,3.6690924,3.7829237,3.658807,3.7979703,2.362347,3.7359476,3.7773528,3.0191393,2.4870572,2.4597743,2.537881,2.9307659,2.8651202,3.0610025,3.1960187,3.381621,3.3413873,2.6893992,2.2955582,2.162991,2.640938,2.9955506,3.0151532,3.2156858,3.2692075,2.7464323,2.7389233,3.561546,3.2078502,2.642741,2.6434326,2.6941164,2.5264146,2.4460423,2.3691447,2.8870304,2.7142067,2.7929986,2.4871988,2.3909385,2.2176306,2.4468753,2.3109365,2.369944,2.4060357,2.0348508,2.2768164,2.0627527,2.1080499,2.8329263,2.1276927,3.2515633,3.4121976,2.568264,2.0508626,2.1373358,2.127605,2.6071615,2.4402013,1.7199702,1.8974341,2.8373551,2.8342957,3.0681093,3.0209565,1.9944857,2.3313115,2.6323724,2.3693054,1.8153857,1.7050775,1.956091,2.6313255,1.9568751,2.1127079,1.8173559,2.1346343,1.7896727,2.0867455,2.000833,2.0432813,2.2425647,2.1358178,2.1790464,2.4645045,3.3831935,3.5091798,2.1605246,2.190601
6,3.6298513,2.3212824,1.7465359,1.5683275,1.3774264,1.7145089,0.0,0.8538595,2.4724677,2.2580986,2.2011602,2.362015,2.2754405,2.0948226,1.818074,2.1941485,1.9829813,1.930224,1.9418637,1.9575039,1.9976192,2.2403362,2.3161302,2.5227916,2.541857,1.853799,2.1041934,1.8900595,2.0005217,1.9657519,1.9464726,2.000815,3.7672942,3.638332,3.2740045,4.734202,2.6004994,2.7384672,3.8270118,3.5457602,3.7396154,3.9358044,3.9782703,2.078355,3.6037693,3.6226168,2.9526753,2.4386394,2.7778366,2.2242374,3.2656832,3.085691,3.1820512,3.393063,3.6874275,4.073508,1.8468963,1.5390463,1.316771,2.054547,2.69881,2.6600163,2.8920057,2.9448311,2.3930988,2.3967187,3.1507745,2.7033849,2.770223,2.8009713,2.7515419,2.5749493,1.7701052,1.3737187,2.4767163,1.9824203,2.2162926,1.4957098,1.8738192,1.7766234,2.3632452,1.9017646,1.8634018,1.9279841,2.0657003,2.0309212,2.4480386,2.5373416,2.4248688,1.6153222,2.8729491,3.1035867,3.0709586,2.464986,2.3301756,2.3187103,2.9567595,2.7661204,2.078201,2.2348955,2.9636097,2.982749,2.8355293,2.923426,2.5252838,2.2291312,2.2541745,2.5824444,2.0172799,2.0237393,2.1883035,2.9614594,1.3884833,1.3035356,1.7076759,2.9108222,1.7210534,1.8478212,1.7504814,1.7738844,2.2299495,1.9830936,2.4930975,2.5520878,3.5652878,3.399403,2.131508,2.1775794
7,3.932256,2.7939408,1.6641787,1.4448154,1.6033345,1.8594172,0.8538595,0.0,2.362855,2.2006443,2.244419,2.2848663,2.2767808,2.1031094,1.9031892,2.1808372,2.0531447,1.9952725,2.023056,2.1125212,2.057933,2.2897708,2.3355768,2.5272837,2.9462216,2.4565537,2.6588323,2.4667065,2.5353475,2.5367048,2.5321934,2.6160665,4.189403,4.0926027,3.7699437,5.068278,2.715292,2.846883,4.287911,4.021284,4.2183895,4.3455095,4.3482537,2.1793752,4.1246133,4.147548,3.0288703,2.5048876,3.198548,2.7940679,3.6290903,3.6333973,3.582516,3.775617,3.9218524,4.361118,2.1023505,1.6786958,1.4851091,2.1429121,3.198648,3.1748993,3.3821583,3.4641905,2.517884,2.5148067,3.2699249,2.8261266,2.8741665,2.8836966,2.965639,2.8055356,1.9146354,1.6579311,2.6152184,2.2360303,2.6757307,1.8216909,2.0170403,1.9439845,2.4945366,2.0811827,2.0316355,2.092793,2.2294216,2.200503,3.030936,3.1045547,2.9161487,1.7649863,3.2899022,3.494189,3.1642592,2.5817497,2.484277,2.4808755,2.9618387,2.8033059,2.2779903,2.4139614,3.2372239,3.2657945,3.2461865,3.3061461,2.6537616,2.3732502,2.3997433,2.7925096,2.198602,2.1967235,2.2776735,2.9711468,1.8278648,1.7561271,2.0445163,3.0904126,2.1200006,2.1302016,2.0848954,2.1051974,2.4363546,2.2729006,2.6892676,2.720168,3.700802,3.6026914,2.3814018,2.457487
8,3.5703726,2.5312774,1.7353292,1.483281,1.861238,1.9354588,2.4724677,2.362855,0.0,0.43230465,1.5509439,0.52540207,1.1970404,0.6310949,1.2843237,0.6207537,2.8468173,2.7597425,2.6385195,2.7351933,2.2075827,2.0284758,2.3961153,1.9576288,2.8624005,3.1518903,3.145175,3.0886314,2.7726207,2.6846473,2.7166588,2.783757,3.5880568,3.8309789,3.5055907,4.3407574,2.5309546,2.6189675,3.4045165,3.4800692,3.7513623,3.6838026,3.8496244,2.314451,3.7348077,3.7833188,2.666065,2.5012314,2.3584766,2.823737,2.784281,3.0732296,2.7515178,3.021637,2.5798657,3.0075855,3.3717866,2.436933,2.3697195,2.6667852,3.0846455,3.084509,3.373732,3.4639258,2.4359262,2.4130678,3.1204004,2.873263,2.5343065,2.5151267,2.9016535,2.8066666,2.0886133,2.558638,2.776327,2.6855857,2.6168134,2.6975148,2.0945268,2.0170884,2.58484,2.4152625,2.4917295,2.6204221,2.280025,2.5311255,2.79892,2.827915,2.7884152,1.8199934,2.9789894,3.1995757,1.9611975,1.988084,2.055416,2.0602899,1.5440179,1.4234258,1.7429665,1.7558352,2.843577,2.8308225,2.9987922,2.8735237,1.8462665,2.2363553,2.305268,2.6628897,1.5973259,1.8342087,1.5427809,2.0082877,2.4624705,2.5911095,2.197047,3.2993755,2.1868675,2.1770966,2.0895789,2.1001546,2.3819263,2.766705,2.294165,2.2102456,3.072148,3.2905977,2.2401564,2.155893
9,3.4173164,2.3572676,1.6031077,1.3741896,1.6464225,1.7433468,2.2580986,2.2006443,0.43230465,0.0,1.5130855,0.69847906,1.1354468,0.58975726,1.2254766,0.5614762,2.675132,2.584246,2.5164204,2.5714126,2.07659,1.910882,2.3353076,1.9244742,2.6522763,2.9742632,2.9453416,2.9196591,2.6281457,2.5609148,2.5864904,2.6328757,3.4628246,3.7001522,3.3446007,4.251815,2.429528,2.4988155,3.2997787,3.374369,3.5965471,3.5677273,3.7233899,2.1917634,3.6120107,3.639254,2.6612804,2.437929,2.2979653,2.7009165,2.799354,3.008612,2.5681531,2.927183,2.4968126,2.9542854,3.2406633,2.299011,2.2263417,2.523642,2.9203937,2.9294133,3.2923453,3.3807433,2.2660854,2.2422605,3.0245595,2.7632184,2.5093818,2.494038,2.8155205,2.7072868,1.929775,2.4134693,2.6591501,2.5362217,2.4580464,2.5366468,1.9289716,1.8442163,2.4916272,2.2971952,2.3721378,2.5045564,2.1674328,2.4132648,2.62196,2.6618474,2.6806002,1.6198978,2.8561566,3.074632,1.8870933,1.9421445,1.9671293,1.9648778,1.4724798,1.258732,1.5637426,1.6065569,2.7920866,2.7832446,2.8599083,2.7428648,1.8077936,2.1568482,2.1974392,2.5068333,1.400187,1.6420368,1.3942648,1.8985584,2.2473412,2.3741403,2.0088208,3.1829991,1.98542,1.995727,1.9035022,1.9222529,2.2030447,2.5871458,2.083271,2.0303986,2.9478695,3.149418,2.0852792,1.9926063
