-,0.185883178710938
0,0.317448043823242
A,0.3797900390625
B,0.0707746887207031
C,0.0225990295410156
D,0.0052154541015625
E,0.00638214111328125
F,0.00117973327636719
G,0.00387115478515625
H,0.00334564208984375
I,0.0003350830078125
J,0.00140083312988281
K,0.000367279052734375
L,3.62396240234375e-05
M,0.000196456909179688
N,2.51007080078125e-05
O,0.000312118530273437
P,0.0001483154296875
Q,0.0003955078125
R,0.000206069946289063
S,6.53076171875e-05
T,9.307861328125e-06
U,1.09100341796875e-05
V,7.62939453125e-08
W,3.0517578125e-07
Y,9.918212890625e-07
Z,9.918212890625e-07
